#Time,BothArmsLabel,Start/End,RightArmLabel,Start/End,LeftArmLabel,Start/End,Locomotion,Start/End,SessionLabel,Info10
20:00:40.084,,,,,,,,,S1,Start
20:00:40.144,DrinkGlass,Start,DrinkGlass,Start,,,,,,
20:00:42.308,DrinkGlass,End,DrinkGlass,End,,,,,,
20:00:44.109,PourWater,Start,PourWater,Start,,,,,,
20:00:46.635,PourWater,End,PourWater,End,,,,,,
20:00:46.815,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
20:00:48.075,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
20:00:48.855,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
20:00:51.795,Walk,End,Walk,End,Walk,End,Walk,End,,
20:00:52.815,OpenDoor,Start,OpenDoor,Start,,,,,,
20:00:56.117,OpenDoor,End,OpenDoor,End,,,,,,
20:01:00.141,CleanTable,Start,CleanTable,Start,,,,,,
20:01:04.475,CleanTable,End,CleanTable,End,,,,,,
20:01:05.977,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
20:01:09.758,Walk,End,Walk,End,Walk,End,Walk,End,,
20:01:10.058,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
20:01:11.138,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
20:01:12.519,PourWater,Start,PourWater,Start,,,,,,
20:01:15.528,PourWater,End,PourWater,End,,,,,,
20:01:16.308,DrinkGlass,Start,DrinkGlass,Start,,,,,,
20:01:18.356,DrinkGlass,End,DrinkGlass,End,,,,,,
20:01:19.497,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
20:01:20.637,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
20:01:21.296,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
20:01:24.664,Walk,End,Walk,End,Walk,End,Walk,End,,
20:01:26.344,OpenDoor,Start,OpenDoor,Start,,,,,,
20:01:29.886,OpenDoor,End,OpenDoor,End,,,,,,
20:01:31.173,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
20:01:31.773,Walk,End,Walk,End,Walk,End,Walk,End,,
20:01:34.338,BrushTeeth,Start,BrushTeeth,Start,,,,,,
20:01:38.498,BrushTeeth,End,BrushTeeth,End,,,,,,
20:01:41.503,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
20:01:45.176,Walk,End,Walk,End,Walk,End,Walk,End,,
20:01:45.897,CleanTable,Start,CleanTable,Start,,,,,,
20:01:50.051,CleanTable,End,CleanTable,End,,,,,,
20:01:51.251,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
20:01:53.234,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
20:01:54.556,DrinkGlass,Start,DrinkGlass,Start,,,,,,
20:01:56.601,DrinkGlass,End,DrinkGlass,End,,,,,,
20:01:57.861,PourWater,Start,PourWater,Start,,,,,,
20:02:01.292,PourWater,End,PourWater,End,,,,,,
20:02:02.316,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
20:02:03.639,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
20:02:04.543,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
20:02:07.788,Walk,End,Walk,End,Walk,End,Walk,End,,
20:02:08.809,CloseDoor,Start,CloseDoor,Start,,,,,,
20:02:12.182,CloseDoor,End,CloseDoor,End,,,,,,
20:02:15.606,BrushTeeth,Start,BrushTeeth,Start,,,,,,
20:02:20.371,BrushTeeth,End,BrushTeeth,End,,,,,,
20:02:22.603,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
20:02:26.279,Walk,End,Walk,End,Walk,End,Walk,End,,
20:02:27.239,CleanTable,Start,CleanTable,Start,,,,,,
20:02:31.812,CleanTable,End,CleanTable,End,,,,,,
20:02:34.934,CloseDoor,Start,CloseDoor,Start,,,,,,
20:02:39.624,CloseDoor,End,CloseDoor,End,,,,,,
20:02:41.848,OpenDoor,Start,OpenDoor,Start,,,,,,
20:02:45.090,OpenDoor,End,OpenDoor,End,,,,,,
20:02:47.374,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
20:02:49.353,Walk,End,Walk,End,Walk,End,Walk,End,,
20:02:49.953,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
20:02:51.453,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
