#Time,BothArmsLabel,Start/End,RightArmLabel,Start/End,LeftArmLabel,Start/End,Locomotion,Start/End,SessionLabel,Info10
18:49:47.276,,,,,,,,,S1,Start
18:49:47.309,DrinkGlass,Start,DrinkGlass,Start,,,,,,
18:49:50.492,DrinkGlass,End,DrinkGlass,End,,,,,,
18:49:52.061,PourWater,Start,PourWater,Start,,,,,,
18:49:57.499,PourWater,End,PourWater,End,,,,,,
18:49:58.520,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
18:50:00.140,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
18:50:00.920,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
18:50:03.380,Walk,End,Walk,End,Walk,End,Walk,End,,
18:50:04.700,OpenDoor,Start,OpenDoor,Start,,,,,,
18:50:07.520,OpenDoor,End,OpenDoor,End,,,,,,
18:50:09.440,CleanTable,Start,CleanTable,Start,,,,,,
18:50:12.980,CleanTable,End,CleanTable,End,,,,,,
18:50:15.620,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
18:50:18.020,Walk,End,Walk,End,Walk,End,Walk,End,,
18:50:18.053,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
18:50:20.094,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
18:50:21.234,PourWater,Start,PourWater,Start,,,,,,
18:50:25.441,PourWater,End,PourWater,End,,,,,,
18:50:26.401,DrinkGlass,Start,DrinkGlass,Start,,,,,,
18:50:30.062,DrinkGlass,End,DrinkGlass,End,,,,,,
18:50:30.095,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
18:50:31.660,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
18:50:32.200,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
18:50:37.014,Walk,End,Walk,End,Walk,End,Walk,End,,
18:50:37.794,OpenDoor,Start,OpenDoor,Start,,,,,,
18:50:40.801,OpenDoor,End,OpenDoor,End,,,,,,
18:50:44.521,BrushTeeth,Start,BrushTeeth,Start,,,,,,
18:50:53.537,BrushTeeth,End,BrushTeeth,End,,,,,,
18:51:00.444,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
18:51:04.408,Walk,End,Walk,End,Walk,End,Walk,End,,
18:51:05.428,CleanTable,Start,CleanTable,Start,,,,,,
18:51:08.728,CleanTable,End,CleanTable,End,,,,,,
18:51:12.928,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
18:51:14.848,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
18:51:16.708,DrinkGlass,Start,DrinkGlass,Start,,,,,,
18:51:21.025,DrinkGlass,End,DrinkGlass,End,,,,,,
18:51:23.306,PourWater,Start,PourWater,Start,,,,,,
18:51:27.746,PourWater,End,PourWater,End,,,,,,
18:51:27.866,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
18:51:29.426,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
18:51:30.686,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
18:51:34.828,Walk,End,Walk,End,Walk,End,Walk,End,,
18:51:35.008,CloseDoor,Start,CloseDoor,Start,,,,,,
18:51:37.055,CloseDoor,End,CloseDoor,End,,,,,,
18:51:41.737,BrushTeeth,Start,BrushTeeth,Start,,,,,,
18:51:46.487,BrushTeeth,End,BrushTeeth,End,,,,,,
18:51:49.428,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
18:51:53.150,Walk,End,Walk,End,Walk,End,Walk,End,,
18:51:53.869,CleanTable,Start,CleanTable,Start,,,,,,
18:51:57.049,CleanTable,End,CleanTable,End,,,,,,
18:51:59.089,CloseDoor,Start,CloseDoor,Start,,,,,,
18:52:01.069,CloseDoor,End,CloseDoor,End,,,,,,
18:52:04.309,OpenDoor,Start,OpenDoor,Start,,,,,,
18:52:07.248,OpenDoor,End,OpenDoor,End,,,,,,
18:52:08.794,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
18:52:10.534,Walk,End,Walk,End,Walk,End,Walk,End,,
18:52:11.074,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
18:52:13.114,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
18:52:13.654,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
18:52:15.696,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
18:52:17.436,PourWater,Start,PourWater,Start,,,,,,
18:52:22.056,PourWater,End,PourWater,End,,,,,,
18:52:22.596,CleanTable,Start,CleanTable,Start,,,,,,
18:52:27.166,CleanTable,End,CleanTable,End,,,,,,
18:52:28.846,DrinkGlass,Start,DrinkGlass,Start,,,,,,
18:52:33.166,DrinkGlass,End,DrinkGlass,End,,,,,,
18:52:33.826,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
