#Time,BothArmsLabel,Start/End,RightArmLabel,Start/End,LeftArmLabel,Start/End,Locomotion,Start/End,SessionLabel,Info10
17:00:05.621,,,,,,,,,S1,Start
17:00:05.681,DrinkGlass,Start,DrinkGlass,Start,,,,,,
17:00:09.461,DrinkGlass,End,DrinkGlass,End,,,,,,
17:00:10.181,PourWater,Start,PourWater,Start,,,,,,
17:00:14.696,PourWater,End,PourWater,End,,,,,,
17:00:15.296,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
17:00:16.437,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
17:00:16.977,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:00:20.096,Walk,End,Walk,End,Walk,End,Walk,End,,
17:00:20.876,OpenDoor,Start,OpenDoor,Start,,,,,,
17:00:23.737,OpenDoor,End,OpenDoor,End,,,,,,
17:00:26.019,CleanTable,Start,CleanTable,Start,,,,,,
17:00:29.867,CleanTable,End,CleanTable,End,,,,,,
17:00:30.167,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:00:35.106,Walk,End,Walk,End,Walk,End,Walk,End,,
17:00:35.226,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
17:00:37.027,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
17:00:38.529,PourWater,Start,PourWater,Start,,,,,,
17:00:42.322,PourWater,End,PourWater,End,,,,,,
17:00:43.042,DrinkGlass,Start,DrinkGlass,Start,,,,,,
17:00:47.381,DrinkGlass,End,DrinkGlass,End,,,,,,
17:00:47.558,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
17:00:48.578,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
17:00:48.998,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:00:53.799,Walk,End,Walk,End,Walk,End,Walk,End,,
17:00:54.399,OpenDoor,Start,OpenDoor,Start,,,,,,
17:00:57.400,OpenDoor,End,OpenDoor,End,,,,,,
17:01:00.830,BrushTeeth,Start,BrushTeeth,Start,,,,,,
17:01:07.733,BrushTeeth,End,BrushTeeth,End,,,,,,
17:01:10.682,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:01:14.961,Walk,End,Walk,End,Walk,End,Walk,End,,
17:01:15.621,CleanTable,Start,CleanTable,Start,,,,,,
17:01:19.104,CleanTable,End,CleanTable,End,,,,,,
17:01:21.149,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
17:01:22.653,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
17:01:23.616,DrinkGlass,Start,DrinkGlass,Start,,,,,,
17:01:27.953,DrinkGlass,End,DrinkGlass,End,,,,,,
17:01:28.913,PourWater,Start,PourWater,Start,,,,,,
17:01:32.945,PourWater,End,PourWater,End,,,,,,
17:01:33.005,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
17:01:34.210,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
17:01:35.235,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:01:39.334,Walk,End,Walk,End,Walk,End,Walk,End,,
17:01:39.874,CloseDoor,Start,CloseDoor,Start,,,,,,
17:01:43.076,CloseDoor,End,CloseDoor,End,,,,,,
17:01:46.210,BrushTeeth,Start,BrushTeeth,Start,,,,,,
17:01:55.170,BrushTeeth,End,BrushTeeth,End,,,,,,
17:01:57.100,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:02:01.730,Walk,End,Walk,End,Walk,End,Walk,End,,
17:02:02.991,CleanTable,Start,CleanTable,Start,,,,,,
17:02:07.143,CleanTable,End,CleanTable,End,,,,,,
17:02:09.609,CloseDoor,Start,CloseDoor,Start,,,,,,
17:02:14.662,CloseDoor,End,CloseDoor,End,,,,,,
17:02:16.349,OpenDoor,Start,OpenDoor,Start,,,,,,
17:02:19.303,OpenDoor,End,OpenDoor,End,,,,,,
17:02:20.868,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:02:24.048,Walk,End,Walk,End,Walk,End,Walk,End,,
17:02:24.108,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
17:02:25.971,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
17:02:26.511,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
17:02:27.651,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
17:02:29.331,PourWater,Start,PourWater,Start,,,,,,
17:02:33.684,PourWater,End,PourWater,End,,,,,,
17:02:34.285,CleanTable,Start,CleanTable,Start,,,,,,
17:02:39.105,CleanTable,End,CleanTable,End,,,,,,
17:02:39.585,DrinkGlass,Start,DrinkGlass,Start,,,,,,
17:02:44.337,DrinkGlass,End,DrinkGlass,End,,,,,,
17:02:45.464,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:02:49.312,Walk,End,Walk,End,Walk,End,Walk,End,,
