#Time,BothArmsLabel,Start/End,RightArmLabel,Start/End,LeftArmLabel,Start/End,Locomotion,Start/End,SessionLabel,Info10
17:36:45.504,,,,,,,,,S1,Start
17:36:47.163,DrinkGlass,Start,DrinkGlass,Start,,,,,,
17:36:50.347,DrinkGlass,End,DrinkGlass,End,,,,,,
17:36:51.408,PourWater,Start,PourWater,Start,,,,,,
17:36:54.161,PourWater,End,PourWater,End,,,,,,
17:36:54.625,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
17:36:56.176,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
17:36:57.727,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:37:00.317,Walk,End,Walk,End,Walk,End,Walk,End,,
17:37:01.252,OpenDoor,Start,OpenDoor,Start,,,,,,
17:37:05.059,OpenDoor,End,OpenDoor,End,,,,,,
17:37:08.020,CleanTable,Start,CleanTable,Start,,,,,,
17:37:11.968,CleanTable,End,CleanTable,End,,,,,,
17:37:14.788,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:37:18.313,Walk,End,Walk,End,Walk,End,Walk,End,,
17:37:18.521,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
17:37:20.354,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
17:37:21.341,PourWater,Start,PourWater,Start,,,,,,
17:37:25.007,PourWater,End,PourWater,End,,,,,,
17:37:26.276,DrinkGlass,Start,DrinkGlass,Start,,,,,,
17:37:29.942,DrinkGlass,End,DrinkGlass,End,,,,,,
17:37:30.365,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
17:37:32.480,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
17:37:33.890,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:37:39.389,Walk,End,Walk,End,Walk,End,Walk,End,,
17:37:39.530,OpenDoor,Start,OpenDoor,Start,,,,,,
17:37:44.465,OpenDoor,End,OpenDoor,End,,,,,,
17:37:49.118,BrushTeeth,Start,BrushTeeth,Start,,,,,,
17:37:52.643,BrushTeeth,End,BrushTeeth,End,,,,,,
17:37:56.168,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
17:38:02.090,Walk,End,Walk,End,Walk,End,Walk,End,,
17:38:04.205,CleanTable,Start,CleanTable,Start,,,,,,
17:38:08.858,CleanTable,End,CleanTable,End,,,,,,
17:38:14.075,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
