#Time,BothArmsLabel,Start/End,RightArmLabel,Start/End,LeftArmLabel,Start/End,Locomotion,Start/End,SessionLabel,Info10
15:44:28.011,,,,,,,,,S1,Start
15:44:28.070,DrinkGlass,Start,DrinkGlass,Start,,,,,,
15:44:30.912,DrinkGlass,End,DrinkGlass,End,,,,,,
15:44:33.277,PourWater,Start,PourWater,Start,,,,,,
15:44:36.417,PourWater,End,PourWater,End,,,,,,
15:44:37.305,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
15:44:38.726,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
15:44:39.671,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:44:42.569,Walk,End,Walk,End,Walk,End,Walk,End,,
15:44:43.457,OpenDoor,Start,OpenDoor,Start,,,,,,
15:44:47.008,OpenDoor,End,OpenDoor,End,,,,,,
15:44:49.610,CleanTable,Start,CleanTable,Start,,,,,,
15:44:53.221,CleanTable,End,CleanTable,End,,,,,,
15:44:56.177,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:44:57.887,Walk,End,Walk,End,Walk,End,Walk,End,,
15:44:58.655,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
15:45:00.369,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
15:45:01.198,PourWater,Start,PourWater,Start,,,,,,
15:45:03.864,PourWater,End,PourWater,End,,,,,,
15:45:04.690,DrinkGlass,Start,DrinkGlass,Start,,,,,,
15:45:07.179,DrinkGlass,End,DrinkGlass,End,,,,,,
15:45:07.947,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
15:45:09.189,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
15:45:09.958,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:45:14.277,Walk,End,Walk,End,Walk,End,Walk,End,,
15:45:15.479,OpenDoor,Start,OpenDoor,Start,,,,,,
15:45:18.076,OpenDoor,End,OpenDoor,End,,,,,,
15:45:21.089,BrushTeeth,Start,BrushTeeth,Start,,,,,,
15:45:26.273,BrushTeeth,End,BrushTeeth,End,,,,,,
15:45:28.980,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:45:33.437,Walk,End,Walk,End,Walk,End,Walk,End,,
15:45:34.642,CleanTable,Start,CleanTable,Start,,,,,,
15:45:38.205,CleanTable,End,CleanTable,End,,,,,,
15:45:41.817,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
15:45:43.459,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
15:45:44.118,DrinkGlass,Start,DrinkGlass,Start,,,,,,
15:45:46.707,DrinkGlass,End,DrinkGlass,End,,,,,,
15:45:47.730,PourWater,Start,PourWater,Start,,,,,,
15:45:50.448,PourWater,End,PourWater,End,,,,,,
15:45:51.289,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
15:45:52.732,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
15:45:55.200,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:45:57.846,Walk,End,Walk,End,Walk,End,Walk,End,,
15:45:58.753,CloseDoor,Start,CloseDoor,Start,,,,,,
15:46:02.370,CloseDoor,End,CloseDoor,End,,,,,,
15:46:04.843,BrushTeeth,Start,BrushTeeth,Start,,,,,,
15:46:10.575,BrushTeeth,End,BrushTeeth,End,,,,,,
15:46:12.561,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:46:16.718,Walk,End,Walk,End,Walk,End,Walk,End,,
15:46:18.283,CleanTable,Start,CleanTable,Start,,,,,,
15:46:22.145,CleanTable,End,CleanTable,End,,,,,,
15:46:24.733,CloseDoor,Start,CloseDoor,Start,,,,,,
15:46:29.912,CloseDoor,End,CloseDoor,End,,,,,,
15:46:32.801,OpenDoor,Start,OpenDoor,Start,,,,,,
15:46:36.841,OpenDoor,End,OpenDoor,End,,,,,,
15:46:37.804,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:46:39.847,Walk,End,Walk,End,Walk,End,Walk,End,,
15:46:40.689,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
15:46:42.489,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
15:46:42.905,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
15:46:44.704,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
15:46:45.850,PourWater,Start,PourWater,Start,,,,,,
15:46:49.468,PourWater,End,PourWater,End,,,,,,
15:46:50.491,DrinkGlass,Start,DrinkGlass,Start,,,,,,
15:46:53.683,DrinkGlass,End,DrinkGlass,End,,,,,,
15:46:54.523,CleanTable,Start,CleanTable,Start,,,,,,
15:46:58.743,CleanTable,End,CleanTable,End,,,,,,
15:46:59.824,DrinkGlass,Start,DrinkGlass,Start,,,,,,
15:47:03.025,DrinkGlass,End,DrinkGlass,End,,,,,,
15:47:05.849,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:47:08.200,Walk,End,Walk,End,Walk,End,Walk,End,,
15:47:10.068,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
15:47:11.929,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
15:47:12.409,CleanTable,Start,CleanTable,Start,,,,,,
15:47:16.033,CleanTable,End,CleanTable,End,,,,,,
15:47:16.513,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
15:47:18.436,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
15:47:19.458,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:47:22.954,Walk,End,Walk,End,Walk,End,Walk,End,,
15:47:24.696,BrushTeeth,Start,BrushTeeth,Start,,,,,,
15:47:30.660,BrushTeeth,End,BrushTeeth,End,,,,,,
15:47:32.834,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:47:36.756,Walk,End,Walk,End,Walk,End,Walk,End,,
15:47:36.816,CloseDoor,Start,CloseDoor,Start,,,,,,
15:47:42.368,CloseDoor,End,CloseDoor,End,,,,,,
15:47:44.656,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:47:48.212,Walk,End,Walk,End,Walk,End,Walk,End,,
15:47:49.896,BrushTeeth,Start,BrushTeeth,Start,,,,,,
15:47:55.755,BrushTeeth,End,BrushTeeth,End,,,,,,
15:47:57.924,OpenDoor,Start,OpenDoor,Start,,,,,,
15:48:02.279,OpenDoor,End,OpenDoor,End,,,,,,
15:48:06.206,BrushTeeth,Start,BrushTeeth,Start,,,,,,
15:48:11.604,BrushTeeth,End,BrushTeeth,End,,,,,,
15:48:14.985,CloseDoor,Start,CloseDoor,Start,,,,,,
15:48:18.728,CloseDoor,End,CloseDoor,End,,,,,,
15:48:18.788,,,,,,,,,S1,End
15:49:19.000,,,,,,,,,S2,Start
15:49:19.060,DrinkGlass,Start,,,DrinkGlass,Start,,,,
15:49:22.317,DrinkGlass,End,,,DrinkGlass,End,,,,
15:49:23.463,PourWater,Start,,,PourWater,Start,,,,
15:49:27.330,PourWater,End,,,PourWater,End,,,,
15:49:27.390,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
15:49:28.352,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
15:49:29.134,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
15:49:31.235,Walk,End,Walk,End,Walk,End,Walk,End,,
15:49:33.580,OpenDoor,Start,OpenDoor,Start,,,,,,
15:49:37.133,OpenDoor,End,OpenDoor,End,,,,,,
